CustomerID,FirstName,LastName,DateOfBirth,Age,Gender,Email,PhoneNumber,Address,City,State,ZipCode,Occupation,AnnualIncome,MonthlyIncome,EmploymentLength_Months,NumCreditAccounts,CreditHistoryLength_Months,TotalCreditLimit,TotalCreditBalance,CreditUtilizationRatio,NumLatePayments,NumMissedPayments,PaymentHistoryPct,NumLoans,TotalLoanAmount,MonthlyDebtPayment,DebtToIncomeRatio,NumHardInquiries,NumDerogatoryMarks,Bankruptcy,TaxLiens,ApplicationDate,LastPaymentDate,CreditMix,AccountStatus,InterestRate,CreditScore,CreditScoreCategory
CUST000001,Sarah,Anderson,09-04-57,-32,Female,sarah.anderson@aol.com,642-966-3129,6707 Elm Street,Dallas,NC,88427,Analyst,71984.23,5998.69,0,0,0,5903.2,8465.64,143.4%,9,9,88.8,NULL,71493.83,1125.94,18.77,9,,0,,"July 09, 2020",06-13-25,null,Delinquent,4.75%,501,Poor
CUST000002,Matthew,Robinson,"January 25, 1990",35,Female,matthew.robinson@aol.com,(753) 468-9492,3830 Main St,Austin,MI,29198,Mechanic,,null,132,0,36,0,1366.45,136.65,2,7,95.9,3,40282.57,88.28,2.21,5,2,0,0,2016-06-06,03-26-25,Student,Closed,14.98%,501,Poor
CUST000003,Sandra,Davis,"January 01, 1984",41,Female,sandra.davis@aol.com,218.617.1215,5825 Maple Dr,Chicago,CA,15650,Sales,72925.71,6077.14,237,9,228,121013.2,1717.52,1.42,2,3,97.3,7,248991.54,2684.39,44.17,6,0,0,0,06/03/2023,2025-04-22,Credit Card,Charged Off,10.83%,703,Good
CUST000004,Jennifer,Ramirez,05/26/1989,36,Male,jennifer.ramirez@gmail.com,860-966-9903,7507 Washington Blvd,San Antonio,Pennsylvania,62392,Analyst,"$83,735.86",6977.99,97,36,101,277060.73,285785.13,103.1%,12,0,,5,132733.94,9854.15,141.22,1,3,0,0,2021-10-29,"December 30, 2024",,In Collections,29.6,368,Poor
CUST000005,Linda,Miller,05-14-72,53,N/A,linda.miller@yahoo.com,7622665639,9999 Elm Street,san antonio,TX,68076,Nurse,"102,523",8543.58,349,,19,2844.09,2328.89,81.9%,11,5,96.5,9,166082.81,1872.19,21.91,9,2,0,0,2019-06-13,05-24-25,mortgage,Active,10.58,468,Poor
CUST000006,Mary,Wilson,1958-02-02,67,Female,mary.wilson@yahoo.com,549.879.8119,4928 Main St,Chicago,TX,85545,Consultant,,NA,501,7,493,75322.94,80382.34,106.72,14,2,93.3,0,0,2566.86,64.17,10,3,No,0,24-07-2025,"March 18, 2025",Credit Card,Closed,21.28%,465,Poor
CUST000007,Emily,White,26-09-1995,30,Female,emily.white@outlook.com,6728932574,6238 Park Ln,Philadelphia,NC,51515,Chef,46088.89,3840.74,123,21,21,159555.11,80881.03,50.7%,6,7,90.7,10,416782.81,6915.84,180.07,0,0,0,0,07-12-2017,10/13/2025,Credit Card,Closed,24.83%,514,Poor
CUST000008,Joshua,Harris,"November 30, 1960",65,FEMALE,joshua.harris@aol.com,+13263747557,5863 Oak Ave,Houston,PA,47866,Consultant,"155,343",12945.25,210,1,NULL,3195.21,4476.62,140.1,6,0,98.7,9,,504.99,N/A,10,4,0,1,08-10-25,25-12-2024,Credit Card,Delinquent,14.13,328,Poor
CUST000009,Steven,Rodriguez,04-10-2002,23,Female,steven.rodriguez@outlook.com,521.449.4650,5189 Oak Ave,Los Angeles,CA,30213,Developer,95625.74,7968.81,13,19,36,155622.32,104501.04,67.15,13,7,93.1,NA,49774.87,3902.09,48.97,1,NULL,0,0,08/23/2021,07/22/2025,none,active,12.39%,560,Poor
CUST000010,Sandra,Wilson,1964-07-21,61,Male,sandra.wilson@hotmail.com,+15674304144,9860 Park Ln,Phoenix,MI,44141,Accountant,"103,232",8602.67,200,22,185,69409.75,43285.42,62.4%,6,7,96.4,2,NULL,1687.3,19.61,10,,0,0,25-11-2023,24-06-2025,Credit Card,,20.73,545,Poor
