CustomerID,FirstName,LastName,DateOfBirth,Age,Gender,Email,PhoneNumber,Address,City,State,ZipCode,Occupation,AnnualIncome,MonthlyIncome,EmploymentLength_Months,NumCreditAccounts,CreditHistoryLength_Months,TotalCreditLimit,TotalCreditBalance,CreditUtilizationRatio,NumLatePayments,NumMissedPayments,PaymentHistoryPct,NumLoans,TotalLoanAmount,MonthlyDebtPayment,DebtToIncomeRatio,NumHardInquiries,NumDerogatoryMarks,Bankruptcy,TaxLiens,ApplicationDate,LastPaymentDate,CreditMix,AccountStatus,InterestRate,CreditScore,CreditScoreCategory
C001,James,Anderson,1985-03-15,39,Male,j.anderson@email.com,555-0101,1234 Oak Street,Chicago,IL,60601,Software Engineer,95000,7916.67,72,8,156,85000,12750,0.15,0,0,100.0,2,45000,1850,0.23,1,0,No,No,2024-01-15,2024-11-15,Good,Active,6.5,750,Good
C002,Sarah,Martinez,1990-07-22,34,Female,s.martinez@email.com,555-0102,567 Maple Avenue,Austin,TX,78701,Marketing Manager,78000,6500.00,48,6,98,62000,18600,0.30,2,0,98.5,1,28000,1420,0.22,2,0,No,No,2024-02-01,2024-11-10,Fair,Active,8.2,680,Fair
C003,Michael,Chen,1978-11-30,46,Male,m.chen@email.com,555-0103,890 Pine Road,Seattle,WA,98101,Data Analyst,72000,6000.00,120,5,180,55000,8250,0.15,1,0,99.2,1,22000,1150,0.19,0,0,No,No,2024-01-20,2024-11-18,Good,Active,7.0,720,Good
C004,Emily,Thompson,1995-05-18,29,Female,e.thompson@email.com,555-0104,234 Elm Street,Denver,CO,80201,Graphic Designer,55000,4583.33,36,4,72,38000,15200,0.40,3,1,95.8,2,35000,1625,0.35,3,1,No,No,2024-03-10,2024-10-28,Poor,Active,12.5,620,Fair
C005,David,Wilson,1982-09-08,42,Male,d.wilson@email.com,555-0105,678 Birch Lane,Boston,MA,02101,Financial Advisor,110000,9166.67,96,10,204,125000,25000,0.20,0,0,100.0,1,65000,2450,0.27,1,0,No,No,2024-01-05,2024-11-20,Excellent,Active,5.8,780,Good
C006,Jessica,Brown,1988-12-25,36,Female,j.brown@email.com,555-0106,345 Cedar Drive,Miami,FL,33101,Nurse,68000,5666.67,84,7,132,68000,20400,0.30,1,0,98.9,2,42000,1850,0.33,2,0,No,No,2024-02-15,2024-11-12,Fair,Active,9.0,665,Fair
C007,Robert,Garcia,1992-04-12,32,Male,r.garcia@email.com,555-0107,789 Willow Court,Phoenix,AZ,85001,Sales Representative,62000,5166.67,60,5,84,52000,13000,0.25,2,0,97.5,1,25000,1380,0.27,2,0,No,No,2024-03-01,2024-11-08,Fair,Active,8.5,690,Fair
C008,Amanda,Lee,1987-08-19,37,Female,a.lee@email.com,555-0108,456 Spruce Way,Portland,OR,97201,Teacher,58000,4833.33,108,6,144,58000,11600,0.20,1,0,99.0,1,30000,1320,0.27,1,0,No,No,2024-01-25,2024-11-16,Good,Active,7.5,710,Good
C009,Christopher,Davis,1993-02-28,31,Male,c.davis@email.com,555-0109,123 Ash Boulevard,Atlanta,GA,30301,Accountant,71000,5916.67,48,5,96,60000,21000,0.35,3,1,96.2,2,38000,1750,0.30,3,1,No,No,2024-02-20,2024-10-30,Fair,Active,10.2,645,Fair
C010,Jennifer,Rodriguez,1980-10-05,44,Female,j.rodriguez@email.com,555-0110,901 Hickory Street,San Diego,CA,92101,HR Manager,82000,6833.33,132,8,192,92000,13800,0.15,0,0,100.0,2,48000,2050,0.30,1,0,No,No,2024-01-10,2024-11-19,Good,Active,6.8,740,Good
